"title","artist","playlist"
"Ain't No Man","The Avett Brothers","current A-Z best of library"
"Ain't No Rest for the Wicked","Cage The Elephant","current A-Z best of library"
"Ain't No Sunshine","Bill Withers","current A-Z best of library"
"Ain't That a Shame","Fats Domino","current A-Z best of library"
"Alex Chilton","The Replacements","current A-Z best of library"
"Alexandra","Hamilton Leithauser","current A-Z best of library"
"Alison","Elvis Costello","current A-Z best of library"
"Alive","Pearl Jam","current A-Z best of library"
"All Along The Watchtower","Bob Dylan","current A-Z best of library"
"All For One","The Stone Roses","current A-Z best of library"
"All I Have To Do Is Dream","The Everly Brothers","current A-Z best of library"
"All I Need","Radiohead","current A-Z best of library"
"All The Things That Go To Make Heaven And Earth","The New Pornographers","current A-Z best of library"
"All The Young Dudes","Mott The Hoople","current A-Z best of library"
"All We Ever Knew","The Head and the Heart","current A-Z best of library"
"All We Got feat. Kanye West","Chance The Rapper","current A-Z best of library"
"All Your Favorite Bands","Dawes","current A-Z best of library"
"Alone","Trampled by Turtles","current A-Z best of library"
"Alone Again Or","Love","current A-Z best of library"
"Alone In My Home","Jack White","current A-Z best of library"
"Always Coming Back Home To You","Atmosphere","current A-Z best of library"
"Always Love","Nada Surf","current A-Z best of library"
"America","Prince","current A-Z best of library"
"America","Simon and Garfunkel","current A-Z best of library"
"American Money","BORNS","current A-Z best of library"
"Anarchy in the UK","Sex Pistols","current A-Z best of library"
"Androgynous","The Replacements","current A-Z best of library"
"Angels","Chance the Rapper","current A-Z best of library"
"Another Girl Another Planet","The Only Ones","current A-Z best of library"
"Another Is Waiting","The Avett Brothers","current A-Z best of library"
"Anything Anything I'll Give You","Dramarama","current A-Z best of library"
"Are You Behind the Shining Star","Trampled by Turtles","current A-Z best of library"
"Are You Experienced","Jimi Hendrix","current A-Z best of library"
"Are You Gonna Be My Girl","Jet","current A-Z best of library"
"Army of Me","Bjork","current A-Z best of library"
"At Last","Etta James","current A-Z best of library"
"Atomic Dog","George Clinton","current A-Z best of library"
"Avalon","Roxy Music","current A-Z best of library"
"Avant Gardener","Courtney Barnett","current A-Z best of library"
"Baby Blue","Badfinger","current A-Z best of library"
"Baby Britain","Elliott Smith","current A-Z best of library"
"(Baby) Hold On","The James Hunter Six","current A-Z best of library"
"Baby's Got Sauce","G. Love and Special Sauce","current A-Z best of library"
"Back Door Man","Howlin' Wolf","current A-Z best of library"
"Back in The U.S.A.","Chuck Berry","current A-Z best of library"
"Back In Your Head","Tegan and Sara","current A-Z best of library"
"Backlines","Stars","current A-Z best of library"
"Backwater","Meat Puppets","current A-Z best of library"
"Bad Reputation","Joan Jett and The Blackhearts","current A-Z best of library"
"Ball and Chain","Social Distortion","current A-Z best of library"
"Ball Of Confusion","The Temptations","current A-Z best of library"
"Ballroom Blitz","Sweet","current A-Z best of library"
"Bandages","Hot Hot Heat","current A-Z best of library"
"Band on the Run","Paul McCartney","current A-Z best of library"
"Bandstand Boogie","Barry Manilow","current A-Z best of library"
"Bang A Gong Get It On","T. Rex","current A-Z best of library"
"Basic Space","The XX","current A-Z best of library"
"Basket Case","Green Day","current A-Z best of library"
"Battle Flag","Lo Fidelity Allstars","current A-Z best of library"
"Be Here Now","Mason Jennings","current A-Z best of library"
"Be Mine","Alabama Shakes","current A-Z best of library"
"Be My Baby","The Ronettes","current A-Z best of library"
"Beautiful Day","U2","current A-Z best of library"
"Because The Night","Patti Smith","current A-Z best of library"
"Beds are Burning","Midnight Oil","current A-Z best of library"
"Been Caught Stealing","Jane's Addiction","current A-Z best of library"
"Beginning to See the Light","The Velvet Underground","current A-Z best of library"
"Believe","Mumford and Sons","current A-Z best of library"
"Best Kept Secret","case/lang/veirs","current A-Z best of library"
"Better Things","Sharon Jones and The Dap-Kings","current A-Z best of library"
"Big in Japan","Tom Waits","current A-Z best of library"
"Big Me","Foo Fighters","current A-Z best of library"
"Big Time Sensuality","Bjork","current A-Z best of library"
"Big Yellow Taxi","Joni Mitchell","current A-Z best of library"
"Bigmouth Strikes Again","The Smiths","current A-Z best of library"
"Billie Jean","Michael Jackson","current A-Z best of library"
"Bird on the Wire","Leonard Cohen","current A-Z best of library"
"Birth In Reverse","St. Vincent","current A-Z best of library"
"Bitter Sweet Symphony","The Verve","current A-Z best of library"
"Bizarre Love Triangle","New Order","current A-Z best of library"
"Black and White Town","Doves","current A-Z best of library"
"Black Gold","Soul Asylum","current A-Z best of library"
"Black Mambo","Glass Animals","current A-Z best of library"
"Black Mirror","Arcade Fire","current A-Z best of library"
"Black Out Days","Phantogram","current A-Z best of library"
"Black Sun","Death Cab For Cutie","current A-Z best of library"
"Black Sweat","Prince","current A-Z best of library"
"Blank Generation","Richard Hell and The Voidoids","current A-Z best of library"
"Blessings feat. Ty Dolla Sign","Chance The Rapper","current A-Z best of library"
"Blister In The Sun","Violent Femmes","current A-Z best of library"
"Blitzkrieg Bop","Ramones","current A-Z best of library"
"Block Rockin' Beats","The Chemical Brothers","current A-Z best of library"
"Bloodbuzz Ohio","The National","current A-Z best of library"
"Blue","The Jayhawks","current A-Z best of library"
"Blue Eyes Crying In The Rain","Willie Nelson","current A-Z best of library"
"Blue In Green","Miles Davis","current A-Z best of library"
"Blue Monday","New Order","current A-Z best of library"
"Blue Moon","Beck","current A-Z best of library"
"Blue Orchid","The White Stripes","current A-Z best of library"
"Blue Suede Shoes","Carl Perkins","current A-Z best of library"
"Bo Diddley","Bo Diddley","current A-Z best of library"
"Bodyrock","Moby","current A-Z best of library"
"Bohemian Like You","The Dandy Warhols","current A-Z best of library"
"Born Again Teen","Lucius","current A-Z best of library"
"Born To Run","Bruce Springsteen","current A-Z best of library"
"Born Under Punches (The Heat Goes On)","Talking Heads","current A-Z best of library"
"Boy From School","Hot Chip","current A-Z best of library"
"Boy With A Coin","Iron and Wine","current A-Z best of library"
"Boyfriend","Best Coast","current A-Z best of library"
"Boys Don't Cry","The Cure","current A-Z best of library"
"Brace For Impact (Live A Little)","Sturgill Simpson","current A-Z best of library"
"Brass In Pocket","The Pretenders","current A-Z best of library"
"Brass Monkey","Beastie Boys","current A-Z best of library"
"Breakin' Up","Rilo Kiley","current A-Z best of library"
"Breathless","Jerry Lee Lewis","current A-Z best of library"
"Brimful of Asha","Cornershop","current A-Z best of library"
"Bring On The Dancing Horses","Echo and the Bunnymen","current A-Z best of library"
"Bring the Noise","Public Enemy","current A-Z best of library"
"Brown Eyed Handsome Man","Nina Simone","current A-Z best of library"
"Buddy Holly","Weezer","current A-Z best of library"
"Buffalo Soldier","Bob Marley and The Wailers","current A-Z best of library"
"Bull in the Heather","Sonic Youth","current A-Z best of library"
"Bullet The Blue Sky","U2","current A-Z best of library"
"Bulls on Parade","Rage Against The Machine","current A-Z best of library"
"Burn It Down","The Suicide Commandos","current A-Z best of library"
"Burn The Witch","Radiohead","current A-Z best of library"
"Burning Down The House","Talking Heads","current A-Z best of library"
"Burning House Of Love","X","current A-Z best of library"
"Bury Our Friends","Sleater-Kinney","current A-Z best of library"
"California Kids","Weezer","current A-Z best of library"
"California Man","Cheap Trick","current A-Z best of library"
"California Stars","Billy Bragg and Wilco","current A-Z best of library"
"California Uber Alles","Dead Kennedys","current A-Z best of library"
"Californication","Red Hot Chili Peppers","current A-Z best of library"
"Call Me","St. Paul and the Broken Bones","current A-Z best of library"
"Cameras","Matt and Kim","current A-Z best of library"
"Can I Kick It","A Tribe Called Quest","current A-Z best of library"
"Can You Get to That","Funkadelic","current A-Z best of library"
"Cannonball","The Breeders","current A-Z best of library"
"Can't Hardly Wait","The Replacements","current A-Z best of library"
"Can't Hold Us feat. Ray Dalton","Macklemore and Ryan Lewis","current A-Z best of library"
"Can't Stand It","Wilco","current A-Z best of library"
"Can't Stand Losing You","The Police","current A-Z best of library"
"Cantaloupe Island","Herbie Hancock","current A-Z best of library"
"Capsized","Andrew Bird","current A-Z best of library"
"Car Wheels on a Gravel Road","Lucinda Williams","current A-Z best of library"
"Caring Is Creepy","The Shins","current A-Z best of library"
"Cars","Gary Numan","current A-Z best of library"
"Casino Queen","Wilco","current A-Z best of library"
"Casual Party","Band of Horses","current A-Z best of library"
"Cautionary Tale","Dylan LeBlanc","current A-Z best of library"
"Celebrated Summer","Husker Du","current A-Z best of library"
"Center Of The Universe","Built To Spill","current A-Z best of library"
"Chain My Name","Polica","current A-Z best of library"
"Chain Of Fools","Aretha Franklin","current A-Z best of library"
"Champagne Supernova","Oasis","current A-Z best of library"
"Changes","David Bowie","current A-Z best of library"
"Changes","Sugar","current A-Z best of library"
"Chateau Lobby #4 (in C for Two Virgins)","Father John Misty","current A-Z best of library"
"Check the Rhime","A Tribe Called Quest","current A-Z best of library"
"Chelsea Morning","Joni Mitchell","current A-Z best of library"
"Cherry Bomb","The Runaways","current A-Z best of library"
"Cherub Rock","The Smashing Pumpkins","current A-Z best of library"
"Chicago","Sufjan Stevens","current A-Z best of library"
"Children of the World","King Khan","current A-Z best of library"
"Cinnamon Girl","Neil Young","current A-Z best of library"
"Cleopatra","The Lumineers","current A-Z best of library"
"Clint Eastwood","Gorillaz","current A-Z best of library"
"Clocks","Coldplay","current A-Z best of library"
"Close To Me","The Cure","current A-Z best of library"
"Closing Time","Semisonic","current A-Z best of library"
"C'mon Everybody","Eddie Cochran","current A-Z best of library"
"Cocoon","Catfish and the Bottlemen","current A-Z best of library"
"Cold Beverage","G. Love and Special Sauce","current A-Z best of library"
"Color Me Impressed","The Replacements","current A-Z best of library"
"Colorado","Chastity Brown","current A-Z best of library"
"Come A Little Closer","Cage The Elephant","current A-Z best of library"
"Come as You Are","Nirvana","current A-Z best of library"
"Come Fly With Me","Frank Sinatra","current A-Z best of library"
"Come On Feel The Noize","Slade","current A-Z best of library"
"Coming Home","Leon Bridges","current A-Z best of library"
"Common People","Pulp","current A-Z best of library"
"Communication Breakdown","Led Zeppelin","current A-Z best of library"
"Complication","The Monks","current A-Z best of library"
"Connection","Elastica","current A-Z best of library"
"Conquest","The White Stripes","current A-Z best of library"
"Constructive Summer","The Hold Steady","current A-Z best of library"
"Cool For Cats","Squeeze","current A-Z best of library"
"Cornflake Girl","Tori Amos","current A-Z best of library"
"Cortez The Killer","Neil Young","current A-Z best of library"
"Cosmic Dancer","T. Rex","current A-Z best of library"
"Cousins","Vampire Weekend","current A-Z best of library"
"Crazy","Patsy Cline","current A-Z best of library"
"Crazy Little Thing Called Love","Queen","current A-Z best of library"
"Creep","Radiohead","current A-Z best of library"
"Cruel","St. Vincent","current A-Z best of library"
"Cruel to be Kind","Nick Lowe","current A-Z best of library"
"Cut Your Hair","Pavement","current A-Z best of library"
"D.A.N.C.E.","Justice","current A-Z best of library"
"Daffodils feat. Kevin Parker","Mark Ronson","current A-Z best of library"
"Daft Punk Is Playing At My House","LCD Soundsystem","current A-Z best of library"
"Dance Yrself Clean","LCD Soundsystem","current A-Z best of library"
"Dancehall Domine","The New Pornographers","current A-Z best of library"
"Dancing Choose","TV On The Radio","current A-Z best of library"
"Dancing With Myself","Billy Idol","current A-Z best of library"
"Dangerous","Big Data","current A-Z best of library"
"Dare","Gorillaz","current A-Z best of library"
"Dark Necessities","Red Hot Chili Peppers","current A-Z best of library"
"Dashboard","Modest Mouse","current A-Z best of library"
"Daydream","The Lovin' Spoonful","current A-Z best of library"
"Days","The Kinks","current A-Z best of library"
"Dead And Gone","The Black Keys","current A-Z best of library"
"Dead Leaves and the Dirty Ground","The White Stripes","current A-Z best of library"
"Dear Catastrophe Waitress","Belle and Sebastian","current A-Z best of library"
"Dear God","XTC","current A-Z best of library"
"Debaser","Pixies","current A-Z best of library"
"Debbie Downer","Courtney Barnett","current A-Z best of library"
"Debonair","The Afghan Whigs","current A-Z best of library"
"Default","Django Django","current A-Z best of library"
"Delilah","Florence and the Machine","current A-Z best of library"
"Delirious","Prince","current A-Z best of library"
"Depreston","Courtney Barnett","current A-Z best of library"
"Desire","U2","current A-Z best of library"
"Devils Haircut","Beck","current A-Z best of library"
"Digital Witness","St. Vincent","current A-Z best of library"
"Dirty Deeds Done Dirt Cheap","AC/DC","current A-Z best of library"
"Disco Infiltrator","LCD Soundsystem","current A-Z best of library"
"DJ","David Bowie","current A-Z best of library"
"Do I Wanna Know?","Arctic Monkeys","current A-Z best of library"
"Do It Again","Camera Obscura","current A-Z best of library"
"Do It Again","The Beach Boys","current A-Z best of library"
"Do The Strand","Roxy Music","current A-Z best of library"
"Do You Realize","The Flaming Lips","current A-Z best of library"
"Do You Remember Rock 'n Roll Radio","Ramones","current A-Z best of library"
"Dog Days Are Over","Florence and the Machine","current A-Z best of library"
"Dominos","The Big Pink","current A-Z best of library"
"Don't Believe The Hype","Public Enemy","current A-Z best of library"
"Don't Come Home A' Drinkin' (With Lovin' on Your Mind)","Loretta Lynn","current A-Z best of library"
"Don't Haunt This Place","The Rural Alberta Advantage","current A-Z best of library"
"Don't Look Back","Peter Tosh","current A-Z best of library"
"Don't Look Back In Anger","Oasis","current A-Z best of library"
"Don't Save Me","HAIM","current A-Z best of library"
"Don't Sit Down 'Cause I've Moved Your Chair","Arctic Monkeys","current A-Z best of library"
"Don't Stop 'Til You Get Enough","Michael Jackson","current A-Z best of library"
"Don't Think Twice It's All Right","Bob Dylan","current A-Z best of library"
"Don't Wanna Fight","Alabama Shakes","current A-Z best of library"
"Don't Want To Know If You Are Lonely","Husker Du","current A-Z best of library"
"Down by the Water","PJ Harvey","current A-Z best of library"
"Down By The Water","The Decemberists","current A-Z best of library"
"Drain You","Nirvana","current A-Z best of library"
"Dreams","Beck","current A-Z best of library"
"Drown","Son Volt","current A-Z best of library"
"Drown","The Smashing Pumpkins","current A-Z best of library"
"Drumming Song","Florence and the Machine","current A-Z best of library"
"Dumb","Nirvana","current A-Z best of library"
"Eighties","Killing Joke","current A-Z best of library"
"Electric Feel","MGMT","current A-Z best of library"
"Electric Love","BORNS","current A-Z best of library"
"Elephant","Tame Impala","current A-Z best of library"
"Elvis is Everywhere","Mojo Nixon","current A-Z best of library"
"Emmylou","First Aid Kit","current A-Z best of library"
"Emotions And Math","Margaret Glaspy","current A-Z best of library"
"Empire","Of Monsters And Men","current A-Z best of library"
"Empty","Garbage","current A-Z best of library"
"Endless Bummer","Weezer","current A-Z best of library"
"Evenflow","Pearl Jam","current A-Z best of library"
"Eventually","Tame Impala","current A-Z best of library"
"Ever Fallen in Love (With Someone You Shouldn't've)","Buzzcocks","current A-Z best of library"
"Everlong","Foo Fighters","current A-Z best of library"
"Everybody Here Is A Cloud","Cloud Cult","current A-Z best of library"
"Everybody Hurts","R.E.M.","current A-Z best of library"
"Everybody Knows","Leonard Cohen","current A-Z best of library"
"Everyday I Write The Book","Elvis Costello","current A-Z best of library"
"Everyday Is Like Sunday","Morrissey","current A-Z best of library"
"Everything In Its Right Place","Radiohead","current A-Z best of library"
"Everything Is Everything","Lauryn Hill","current A-Z best of library"
"Evil","Interpol","current A-Z best of library"
"Evil Urges","My Morning Jacket","current A-Z best of library"
"Excuse Me While I Break My Own Heart Tonight","Whiskeytown","current A-Z best of library"
"Ex's and Oh's","Elle King","current A-Z best of library"
"Fade Into You","Mazzy Star","current A-Z best of library"
"Fake Plastic Trees","Radiohead","current A-Z best of library"
"Fall in Love","Phantogram","current A-Z best of library"
"Fame","David Bowie","current A-Z best of library"
"Family Affair","Sly and the Family Stone","current A-Z best of library"
"Fantastic Voyage","Lakeside","current A-Z best of library"
"Fast As You Can","Fiona Apple","current A-Z best of library"
"Feed The Tree","Belly","current A-Z best of library"
"Feel Good Inc","Gorillaz","current A-Z best of library"
"Feel The Pain","Dinosaur Jr.","current A-Z best of library"
"Feels Like We Only Go Backwards","Tame Impala","current A-Z best of library"
"Fell in Love with a Girl","The White Stripes","current A-Z best of library"
"Femme Fatale","The Velvet Underground","current A-Z best of library"
"Fever","Peggy Lee","current A-Z best of library"
"Fever","The Black Keys","current A-Z best of library"
"Fight Test","The Flaming Lips","current A-Z best of library"
"Fight the Power","Public Enemy","current A-Z best of library"
"Fighter Girl","Mason Jennings","current A-Z best of library"
"Figure It Out","Royal Blood","current A-Z best of library"
"Finer Things feat. Dem Atlas","Atmosphere","current A-Z best of library"
"Fire","Jimi Hendrix","current A-Z best of library"
"Fire Bug","JD McPherson","current A-Z best of library"
"Fire It Up","Modest Mouse","current A-Z best of library"
"Firestarter","The Prodigy","current A-Z best of library"
"Fitzpleasure","Alt-J","current A-Z best of library"
"Fix It","Ryan Adams and The Cardinals","current A-Z best of library"
"Float On","Modest Mouse","current A-Z best of library"
"Flume","Bon Iver","current A-Z best of library"
"Folsom Prison Blues","Johnny Cash","current A-Z best of library"
"For Emma","Bon Iver","current A-Z best of library"
"Frankie Sinatra","The Avalanches","current A-Z best of library"
"Free","Cat Power","current A-Z best of library"
"Free Again","Alex Chilton","current A-Z best of library"
"Free Life","Dan Wilson","current A-Z best of library"
"Freeway","Aimee Mann","current A-Z best of library"
"French Navy","Camera Obscura","current A-Z best of library"
"Fresh Blood","Eels","current A-Z best of library"
"Friends of P.","The Rentals","current A-Z best of library"
"Funkier Than a Mosquito's Tweeter","Nina Simone","current A-Z best of library"
"Funky Kingston","Toots and the Maytals","current A-Z best of library"
"Funkytown","Lipps  Inc","current A-Z best of library"
"Funny Little Frog","Belle and Sebastian","current A-Z best of library"
"Galvanize","The Chemical Brothers","current A-Z best of library"
"Gangsta","tUnE-yArDs","current A-Z best of library"
"Genius of Love","Tom Tom Club","current A-Z best of library"
"Get Lucky","Daft Punk","current A-Z best of library"
"Get Out","Frightened Rabbit","current A-Z best of library"
"Get Rhythm","Johnny Cash","current A-Z best of library"
"Get Up I Feel Like Being A Sex Machine Pt. 1","James Brown","current A-Z best of library"
"Get Up Stand Up","Bob Marley and The Wailers","current A-Z best of library"
"Ghost","Jeremy Messersmith","current A-Z best of library"
"Ghost Town","The Specials","current A-Z best of library"
"Giant Peach","Wolf Alice","current A-Z best of library"
"Gimme All Your Love","Alabama Shakes","current A-Z best of library"
"Gimme Shelter","The Rolling Stones","current A-Z best of library"
"Girl","Beck","current A-Z best of library"
"Girl From Conejo Valley","M. Ward","current A-Z best of library"
"Girl from the North Country","Bob Dylan","current A-Z best of library"
"Girl U Want","Devo","current A-Z best of library"
"Girls and Boys","Blur","current A-Z best of library"
"Give It Away","Red Hot Chili Peppers","current A-Z best of library"
"Give Peace a Chance","John Lennon","current A-Z best of library"
"Give Up the Funk (Tear the Roof Off the Sucker)","Parliament","current A-Z best of library"
"Givin Em What They Love feat. Prince","Janelle Monae","current A-Z best of library"
"Glad Girls","Guided By Voices","current A-Z best of library"
"Gloria","Patti Smith","current A-Z best of library"
"Gloria","U2","current A-Z best of library"
"Glory Box","Portishead","current A-Z best of library"
"Go!","M83","current A-Z best of library"
"God","Tori Amos","current A-Z best of library"
"God Only Knows","The Beach Boys","current A-Z best of library"
"God Save the Queen","Sex Pistols","current A-Z best of library"
"Going To A GO-GO","Smokey Robinson and the Miracles","current A-Z best of library"
"Gold","Chet Faker","current A-Z best of library"
"Gold Lion","Yeah Yeah Yeahs","current A-Z best of library"
"Gold On The Ceiling","The Black Keys","current A-Z best of library"
"Gold Soundz","Pavement","current A-Z best of library"
"Golden Years","David Bowie","current A-Z best of library"
"Gone Daddy Gone","Violent Femmes","current A-Z best of library"
"Gone Gone Gone (Done Moved On)","Robert Plant and Alison Krauss","current A-Z best of library"
"Good As Hell","Lizzo","current A-Z best of library"
"Good Girls","Elle King","current A-Z best of library"
"Good Times Roll","The Cars","current A-Z best of library"
"Good Vibrations","The Beach Boys","current A-Z best of library"
"Good Woman","Cat Power","current A-Z best of library"
"Goodnight Irene","Leadbelly","current A-Z best of library"
"Gotta Get Away","The Black Keys","current A-Z best of library"
"Graceless","The National","current A-Z best of library"
"Green Onions","Booker T. and the M.G.'s","current A-Z best of library"
"Greetings To The New Brunette","Billy Bragg","current A-Z best of library"
"Guarantees","Atmosphere","current A-Z best of library"
"Hallelujah","Jeff Buckley","current A-Z best of library"
"Hang Loose","Alabama Shakes","current A-Z best of library"
"Hang Me Up To Dry","Cold War Kids","current A-Z best of library"
"Happy","The Rolling Stones","current A-Z best of library"
"Happy Idiot","TV On The Radio","current A-Z best of library"
"Hard to Explain","The Strokes","current A-Z best of library"
"Hard To Handle","Otis Redding","current A-Z best of library"
"Harder Better Faster Stronger","Daft Punk","current A-Z best of library"
"Harlem Shuffle","Bob and Earl","current A-Z best of library"
"Harvest","Neil Young","current A-Z best of library"
"Harvest Moon","Neil Young","current A-Z best of library"
"Hate To Say I Told You So","The Hives","current A-Z best of library"
"Head Full of Doubt/Road Full of Promise","The Avett Brothers","current A-Z best of library"
"Head Like A Hole","Nine Inch Nails","current A-Z best of library"
"Head Over Heels","JD McPherson","current A-Z best of library"
"Heart Of Glass","Blondie","current A-Z best of library"
"Heart Shaped Box","Nirvana","current A-Z best of library"
"Heartbreak Hotel","Elvis Presley","current A-Z best of library"
"Heavy Bells","J. Roddy Walston and The Business","current A-Z best of library"
"Heavy Metal Drummer","Wilco","current A-Z best of library"
"Hello","Adele","current A-Z best of library"
"Helpless","Sugar","current A-Z best of library"
"Helplessness Blues","Fleet Foxes","current A-Z best of library"
"Helter Skelter","The Beatles","current A-Z best of library"
"Here Come The Warm Jets","Brian Eno","current A-Z best of library"
"Here Comes Your Man","Pixies","current A-Z best of library"
"Here It Goes Again","OK Go","current A-Z best of library"
"Here's Where the Story Ends","The Sundays","current A-Z best of library"
"Hero","Lissie","current A-Z best of library"
"Heroes","David Bowie","current A-Z best of library"
"He's My Thing","Babes in Toyland","current A-Z best of library"
"Hey Girl","Sonny Knight and The Lakers","current A-Z best of library"
"Hey Jude","The Beatles","current A-Z best of library"
"Hey Ladies","Beastie Boys","current A-Z best of library"
"Hey No Pressure","Ray LaMontagne","current A-Z best of library"
"Hickory Wind","The Byrds","current A-Z best of library"
"High And Dry","Radiohead","current A-Z best of library"
"Higher Ground","Stevie Wonder","current A-Z best of library"
"Highway 61 Revisited","Bob Dylan","current A-Z best of library"
"Hip Hop Is Dead feat. Will.i.am","Nas","current A-Z best of library"
"Hit The Road Jack","Ray Charles","current A-Z best of library"
"Hold On","Alabama Shakes","current A-Z best of library"
"Hold On Hold On","Neko Case","current A-Z best of library"
"Holdin' On To Black Metal","My Morning Jacket","current A-Z best of library"
"Holding On feat. Gregory Porter","Disclosure","current A-Z best of library"
"Holding On For Life","Broken Bells","current A-Z best of library"
"Holidays in the Sun","Sex Pistols","current A-Z best of library"
"Hollywood Forever Cemetery Sings","Father John Misty","current A-Z best of library"
"Holocene","Bon Iver","current A-Z best of library"
"Home","Edward Sharpe and The Magnetic Zeros","current A-Z best of library"
"Honky Tonk Women","The Rolling Stones","current A-Z best of library"
"Hoochie Coochie Man","Muddy Waters","current A-Z best of library"
"Hoover Dam","Sugar","current A-Z best of library"
"Horchata","Vampire Weekend","current A-Z best of library"
"Hotel Yorba","The White Stripes","current A-Z best of library"
"How Blue Can You Get","B.B. King","current A-Z best of library"
"How Soon is Now?","The Smiths","current A-Z best of library"
"Howlin' For You","The Black Keys","current A-Z best of library"
"Howling At Nothing","Nathaniel Rateliff and the Night Sweats","current A-Z best of library"
"Human Behaviour","Bjork","current A-Z best of library"
"Hundreds of Ways","Conor Oberst","current A-Z best of library"
"Hurdy Gurdy Man","Donovan","current A-Z best of library"
"Hurtin' (On The Bottle)","Margo Price","current A-Z best of library"
"i","Kendrick Lamar","current A-Z best of library"
"I Am The Walrus","The Beatles","current A-Z best of library"
"I Am Trying To Break Your Heart","Wilco","current A-Z best of library"
"I and Love and You","The Avett Brothers","current A-Z best of library"
"I Believe in a Thing Called Love","The Darkness","current A-Z best of library"
"I Bet You Look Good On The Dance Floor","Arctic Monkeys","current A-Z best of library"
"I Can Change","LCD Soundsystem","current A-Z best of library"
"I Can See For Miles","The Who","current A-Z best of library"
"(I Can't Get No) Satisfaction","The Rolling Stones","current A-Z best of library"
"I Could Never Take The Place Of Your Man","Prince","current A-Z best of library"
"I Don't Wanna Grow Up","Tom Waits","current A-Z best of library"
"(I Don't Want to Go To) Chelsea","Elvis Costello","current A-Z best of library"
"I Fall To Pieces","Patsy Cline","current A-Z best of library"
"I Feel It All","Feist","current A-Z best of library"
"I Feel You","Depeche Mode","current A-Z best of library"
"I Follow Rivers","Lykke Li","current A-Z best of library"
"I Fought The Law","The Clash","current A-Z best of library"
"I Get A Kick Out Of You","Frank Sinatra","current A-Z best of library"
"I Got You (I Feel Good)","James Brown","current A-Z best of library"
"I Learned The Hard Way","Sharon Jones and The Dap-Kings","current A-Z best of library"
"I Left My Wallet In El Segundo","A Tribe Called Quest","current A-Z best of library"
"I Love a Man in a Uniform","Gang of Four","current A-Z best of library"
"I Might","Wilco","current A-Z best of library"
"I Need Never Get Old","Nathaniel Rateliff and the Night Sweats","current A-Z best of library"
"I Put A Spell On You","Screamin' Jay Hawkins","current A-Z best of library"
"I Ran (So Far Away)","A Flock of Seagulls","current A-Z best of library"
"I Sat By the Ocean","Queens of the Stone Age","current A-Z best of library"
"I Saw the Light","Todd Rundgren","current A-Z best of library"
"I Shot the Sheriff","Bob Marley and The Wailers","current A-Z best of library"
"I Still Haven't Found What I'm Looking For","U2","current A-Z best of library"
"I Turn My Camera On","Spoon","current A-Z best of library"
"I Walk The Line","Johnny Cash","current A-Z best of library"
"I Wanna Be Adored","The Stone Roses","current A-Z best of library"
"I Wanna Be Sedated","Ramones","current A-Z best of library"
"I Wanna Be Your Dog","The Stooges","current A-Z best of library"
"I Want To Take You Higher","Sly and the Family Stone","current A-Z best of library"
"I Want You Back","Jackson 5","current A-Z best of library"
"I Want You To Want Me","Cheap Trick","current A-Z best of library"
"I Will Follow You into the Dark","Death Cab for Cutie","current A-Z best of library"
"I Will Possess Your Heart","Death Cab for Cutie","current A-Z best of library"
